ID,Group,PLAN,SUMM,TN,MPTG,RR,COIS,PKA,JOL,FOK,CE,INF,DEPENDS,Unknown
3,5,5,3,3,2,8,12,2,3,1,0,0
3,7,1,6,0,5,2,2,1,6,0,2,0
5,16,9,3,1,2,3,4,2,14,1,0,0
14,0,0,7,0,0,1,2,0,2,1,0,1
10,0,0,7,0,0,0,3,0,0,0,0,0
4,0,14,2,0,0,2,22,0,2,4,0,0
5,1,10,4,0,0,0,0,1,0,1,0,0
5,6,2,19,1,1,2,13,1,4,0,1,0
7,10,18,4,4,6,3,3,1,5,0,2,0
3,6,6,4,0,2,3,17,2,5,1,0,0
3,0,42,2,0,0,0,0,0,0,0,0,0
7,6,13,4,1,2,6,0,1,6,0,2,0
6,3,4,0,2,4,7,15,8,7,0,0,0
8,0,0,6,0,0,0,1,1,0,0,0,0
2,0,0,2,0,0,0,0,0,0,0,0,0
6,13,4,15,0,1,5,1,0,7,0,1,0
5,6,2,6,0,2,2,4,0,5,0,0,0
2,1,2,1,1,0,3,0,1,5,0,1,0
11,1,0,5,0,0,0,2,0,0,1,0,0
7,1,2,3,0,0,1,3,0,1,0,0,0
8,3,47,6,4,3,4,3,2,4,0,2,0
9,0,0,4,0,0,0,1,4,1,0,0,0
2,14,16,1,3,0,2,17,0,7,0,0,0
3,0,37,1,0,0,1,1,1,1,1,0,0
4,3,14,10,0,3,5,0,3,10,1,6,0
3,0,0,1,0,0,0,1,0,0,0,0,0
3,0,0,2,0,0,0,45,2,1,0,0,0
10,19,0,16,1,1,7,1,0,6,0,1,0
10,0,0,5,0,0,0,1,0,0,0,0,0
2,7,3,1,3,1,3,30,1,6,0,0,6
5,9,21,3,3,1,5,10,1,4,1,3,0
9,0,0,5,0,0,0,3,0,0,0,0,0
13,0,0,7,0,0,0,0,0,0,0,0,0
